tractid,nta_name,totpop00,pop24_00,NHW00,A20_34y00,colleg00,mdfami00,mdrent00,field_10,totpop19,pop24_16,NHW16,A20_34y16,College16,mdfami19,mdrent19,field_18,NHW00_19,A20_34y00_,College00_,mdfami00_1,mdrent00_1,field_24,scores_raw,score_0.02,score_0.5,score_0.97,pr_uz0217,pr_bf_1ft,pr_bf_025m,pr_bf_05mi
"36047026600",Bensonhurst West,"3399","2369",2185.000000000000000,"764",393.000000000000000,"43636","805",,"3517",,,,,"51250","1349",,-0.671363218000000,-0.174769668000000,0.603370326000000,0.174488954000000,0.675776398000000,"0",-0.930818670000000,-0.045594860000000,-0.816430970000000,-1.558252460000000,"0","0","0","1"
"36047026700",Bedford,"4117","2774",28.000000000000000,"862",403.000000000000000,"35208","592",,"4055",,,,,"64401","1773",,45.268205039999998,-0.164326359000000,2.771436177000000,0.829158146000000,1.994932432000000,"0",3.028861300000000,3.790918100000000,3.027939600000000,2.269400100000000,"1","0","1","1"
"36047026800",Bensonhurst West,"4076","2877",3143.000000000000000,"991",596.000000000000000,"39500","770",,"3965",,,,,"44517","1480",,-0.353700912000000,-0.375443048000000,0.362610764000000,0.127012658000000,0.922077922000000,"0",-1.068824460000000,-0.163121020000000,-0.965422310000000,-1.768900990000000,"0","0","1","1"
"36047026900",Bedford,"2750","1663",11.000000000000000,"578",177.000000000000000,"32015","607",,"3147",,,,,"66534","1636",,43.169049889999997,-0.184483932000000,4.786158102000000,1.078213337000000,1.695222405000000,,3.551431300000000,4.094169800000002,3.336077000000000,2.573714500000000,"1","0","1","1"
"36047027000",Bensonhurst West,"2371","1620",1918.000000000000000,"426",449.000000000000000,"46250","674",,"2139",,,,,"50775","1436",,-0.233092316000000,-0.052407009000000,0.473834640000000,0.097837838000000,1.130563798000000,,-0.438223570000000,0.248116500000000,-0.504090320000000,-1.242904360000000,"0","0","1","0"
"36047027100",Crown Heights North,"2831","1586",22.000000000000000,"551",116.000000000000000,"30464","604",,"3103",,,,,"56136","1491",,18.947133269999998,-0.241207356000000,5.150449509000000,0.842699580000000,1.468543046000000,"0",3.028122800000000,3.545970300000000,2.865173100000000,2.160443400000000,"0","1","1","1"
"36047027200",Bensonhurst West,"3428","2320",2397.000000000000000,"637",544.000000000000000,"39083","724",,"3755",,,,,"58477","1423",,-0.285510794000000,-0.275465261000000,0.067306337000000,0.496225981000000,0.965469613000000,"0",-0.825368590000000,0.018726200000000,-0.668470190000000,-1.358530390000000,"0","0","1","1"
"36047027300",Stuyvesant Heights,"3115","1906",10.000000000000000,"681",240.000000000000000,"35962","548",,"3431",,,,,"56786","1190",,46.937044589999999,-0.287853556000000,2.412185466000000,0.579055670000000,1.171532847000000,,2.308848000000000,3.194054700000000,2.414010800000000,1.644149500000000,"1","0","1","1"
"36047027400",Bensonhurst West,"2831","1963",2110.000000000000000,"590",323.000000000000000,"45542","811",,"3602",,,,,"70625","1585",,-0.371610690000000,-0.260127142000000,0.759267727000000,0.550766326000000,0.954377312000000,"0",-0.224597510000000,0.438605500000000,-0.335446520000000,-1.127663520000000,"0","0","0","0"
"36047027500",Stuyvesant Heights,"4171","2582",55.000000000000000,"777",296.000000000000000,"40115","615",,"4438",,,,,"82069","1828",,14.037404240000001,0.067744755000000,3.743640610000000,1.045843201000000,1.972357724000000,"0",3.233790000000000,3.743838900000000,3.015833100000000,2.274815900000000,"1","0","1","1"
